genero,renda,dias_na_plataforma,cidade,compras_realizadas
M,130763,1.0,San Francisco,0
M,65367,70.0,Tokyo,0
M,60518,14.0,San Francisco,0
F,47873,1.0,San Francisco,3
M,53932,30.0,Miami,0
F,88830,59.0,San Francisco,3
M,184881,1.0,Miami,0
F,111405,13.0,London,0
M,92897,45.0,London,0
M,53863,4.0,London,4
M,66978,95.0,New York City,0
F,102745,22.0,Miami,2
F,33466,41.0,Tokyo,0
F,55535,36.0,New York City,0
M,100037,62.0,Miami,0
F,113579,78.0,San Francisco,1
F,87388,33.0,Tokyo,0
M,156320,13.0,Miami,1
F,22612,8.0,San Francisco,1
M,41208,14.0,Miami,1
M,90155,18.0,Miami,1
M,71813,25.0,Tokyo,0
M,139960,74.0,Tokyo,0
F,138605,71.0,Miami,3
F,923,13.0,London,1
F,13763,15.0,Miami,2
F,131495,0.0,Miami,2
M,2280,42.0,San Francisco,2
F,1175,6.0,New York City,3
M,121119,15.0,London,2
M,65151,13.0,Miami,0
F,69526,58.0,San Francisco,1
F,188452,49.0,Tokyo,3
M,54124,46.0,Miami,2
M,13705,7.0,Miami,0
F,75150,43.0,New York City,0
F,38453,55.0,San Francisco,1
M,102073,11.0,Miami,2
M,45172,10.0,San Francisco,0
M,63956,7.0,London,1
F,94070,63.0,London,2
F,157782,16.0,San Francisco,0
M,364025,35.0,New York City,0
F,5056,8.0,Miami,0
M,96125,49.0,New York City,0
M,250147,45.0,San Francisco,1
F,129771,12.0,London,1
M,11973,9.0,San Francisco,1
M,7914,9.0,New York City,3
F,76002,65.0,San Francisco,1
F,26832,39.0,London,0
F,94403,9.0,San Francisco,1
M,83816,0.0,London,1
F,33612,28.0,San Francisco,0
M,17561,0.0,Tokyo,0
F,74966,58.0,London,1
F,59362,60.0,San Francisco,2
F,116766,32.0,New York City,1
M,7406,44.0,London,1
M,203127,45.0,Miami,0
F,58510,15.0,London,1
F,241616,2.0,Miami,2
F,83394,14.0,San Francisco,0
F,110398,21.0,Miami,0
F,98873,1.0,Tokyo,2
M,199733,13.0,New York City,2
M,56291,69.0,Miami,0
M,47392,53.0,New York City,0
F,85522,42.0,London,4
F,63277,31.0,Tokyo,1
F,149871,6.0,Miami,2
M,56281,8.0,London,2
F,59732,27.0,Tokyo,2
F,29547,17.0,London,0
F,69643,1.0,Tokyo,1
M,125172,15.0,Miami,2
F,11167,21.0,San Francisco,1
M,15314,38.0,New York City,0
F,25132,39.0,London,2
F,25701,23.0,Miami,0
F,136137,3.0,New York City,1
M,226570,1.0,Tokyo,1
M,58175,54.0,Miami,1
M,24503,9.0,Tokyo,1
M,71633,20.0,Tokyo,1
F,97257,19.0,Miami,0
F,3835,12.0,Miami,0
M,63463,5.0,San Francisco,1
M,26337,1.0,New York City,0
M,7328,30.0,New York City,1
F,20114,37.0,Tokyo,2
M,84776,6.0,New York City,0
F,40941,4.0,San Francisco,3
M,89916,0.0,Tokyo,2
F,153891,43.0,London,0
M,14216,18.0,Miami,2
M,49012,40.0,London,2
M,45444,31.0,San Francisco,0
M,113876,17.0,London,1
F,38619,26.0,San Francisco,0
F,39652,60.0,Miami,0
M,4436,14.0,London,1
F,10399,62.0,Tokyo,0
M,126253,24.0,London,0
F,16340,44.0,New York City,0
F,41984,37.0,San Francisco,0
M,83527,11.0,Tokyo,1
M,55558,38.0,London,3
M,15212,47.0,London,0
F,2639,34.0,London,1
F,157795,22.0,New York City,1
M,101205,18.0,New York City,0
F,5881,5.0,London,1
M,26395,42.0,San Francisco,0
M,51838,8.0,Miami,0
M,3357,7.0,San Francisco,1
F,110861,13.0,New York City,0
F,48485,3.0,London,1
M,128331,10.0,London,3
M,59327,18.0,San Francisco,1
M,14198,25.0,San Francisco,3
M,94415,24.0,San Francisco,2
M,166711,10.0,Tokyo,2
M,129111,42.0,Miami,0
M,208588,32.0,San Francisco,5
M,248129,6.0,Miami,1
M,128925,18.0,Miami,3
M,14453,15.0,San Francisco,2
F,2832,45.0,San Francisco,0
M,11975,29.0,London,0
M,57706,20.0,Miami,1
F,212462,35.0,Miami,0
M,23371,19.0,Miami,1
F,75151,57.0,San Francisco,1
F,85177,24.0,London,1
M,46670,10.0,Tokyo,0
M,178942,6.0,Miami,0
F,129245,2.0,Tokyo,3
F,66914,3.0,San Francisco,1
F,74008,7.0,San Francisco,1
F,176540,6.0,Tokyo,2
M,4806,53.0,London,2
F,55853,18.0,Miami,1
M,255419,38.0,New York City,2
F,140009,5.0,Tokyo,1
M,15656,10.0,Tokyo,1
F,161692,61.0,San Francisco,0
M,83982,22.0,San Francisco,3
F,117169,52.0,New York City,1
M,153238,26.0,New York City,2
F,64754,16.0,Tokyo,0
F,45710,2.0,Miami,2
F,60074,60.0,London,1
M,24704,15.0,New York City,0
M,20756,52.0,San Francisco,1
M,168883,16.0,New York City,0
M,25222,4.0,London,1
M,32176,17.0,New York City,0
M,142188,6.0,Tokyo,1
F,156208,10.0,New York City,2
F,60918,21.0,Tokyo,1
M,56447,35.0,London,1
M,69824,1.0,New York City,2
F,46782,16.0,Tokyo,0
M,83599,23.0,Tokyo,0
F,2531,52.0,San Francisco,2
M,9207,10.0,Miami,1
M,77657,0.0,Miami,2
F,229479,7.0,San Francisco,0
F,38315,11.0,New York City,2
F,57204,38.0,Tokyo,1
F,134713,47.0,San Francisco,0
F,190272,1.0,New York City,2
M,65295,0.0,Miami,1
F,45246,0.0,Tokyo,0
F,186409,17.0,Miami,2
M,56670,3.0,London,2
M,48782,38.0,London,1
M,97866,28.0,Tokyo,0
M,57483,2.0,San Francisco,0
M,57101,37.0,San Francisco,0
F,132528,24.0,London,1
M,57355,9.0,San Francisco,0
M,50791,46.0,Miami,1
F,53517,9.0,Miami,1
F,1898,21.0,London,1
F,145531,63.0,Miami,2
M,229007,17.0,Tokyo,1
F,44300,41.0,London,1
F,58580,37.0,Miami,0
F,186571,47.0,San Francisco,2
M,72681,23.0,Tokyo,1
M,9295,5.0,San Francisco,0
F,52806,4.0,Tokyo,4
F,222022,14.0,London,0
M,129274,73.0,New York City,1
M,34813,58.0,Tokyo,1
F,101858,26.0,London,2
M,42131,4.0,Tokyo,0
F,55150,47.0,London,1
F,76328,0.0,San Francisco,1
M,21157,2.0,Miami,3
F,88148,54.0,San Francisco,6
M,13163,16.0,Tokyo,0
F,27500,4.0,London,2
F,81762,10.0,San Francisco,1
M,132564,61.0,Miami,1
F,73165,62.0,Miami,0
F,38510,28.0,San Francisco,1
M,21051,4.0,San Francisco,2
M,158929,45.0,London,5
F,22660,11.0,San Francisco,2
M,126314,9.0,Miami,2
F,102368,61.0,New York City,2
M,164538,12.0,New York City,1
M,25642,10.0,London,1
M,32513,9.0,Tokyo,1
M,58652,39.0,San Francisco,0
F,41,26.0,New York City,6
M,28769,32.0,London,0
F,50409,30.0,San Francisco,3
M,122652,21.0,New York City,2
F,38920,26.0,Tokyo,0
F,40139,35.0,New York City,5
M,31556,3.0,London,0
M,25276,28.0,Tokyo,0
F,1913,50.0,London,1
F,66253,29.0,New York City,4
F,30961,56.0,New York City,1
M,197302,25.0,Miami,1
M,165917,7.0,Miami,3
F,82948,0.0,New York City,2
F,209068,26.0,London,1
F,45332,22.0,London,0
M,74533,39.0,London,1
M,70184,22.0,San Francisco,0
F,21730,13.0,Tokyo,1
F,7256,21.0,London,2
F,147736,1.0,Miami,2
M,20157,5.0,San Francisco,1
F,250395,18.0,London,0
M,221420,38.0,London,1
F,227859,12.0,Tokyo,1
M,366344,7.0,San Francisco,1
F,69113,29.0,Miami,4
F,21425,9.0,Miami,1
M,187035,4.0,New York City,1
F,171140,7.0,Miami,0
M,53326,28.0,New York City,2
M,55168,62.0,London,1
M,123557,26.0,London,1
M,119815,7.0,Tokyo,1
M,32458,11.0,New York City,1
M,131596,18.0,London,0
M,13587,16.0,New York City,1
M,207227,15.0,London,1
F,88889,13.0,London,0
F,85233,1.0,Tokyo,1
M,6859,7.0,London,0
F,46091,27.0,Miami,0
M,84017,3.0,London,0
F,152361,7.0,San Francisco,1
M,54572,52.0,Miami,0
F,29236,16.0,Tokyo,2
F,56351,15.0,San Francisco,2
F,669,9.0,Miami,0
F,35664,2.0,Tokyo,1
M,193236,7.0,New York City,0
M,21850,23.0,Tokyo,0
F,99658,4.0,New York City,2
M,15725,57.0,London,0
M,129734,25.0,Tokyo,3
F,145332,8.0,San Francisco,2
F,66877,5.0,London,0
M,105122,6.0,Miami,0
M,46773,0.0,San Francisco,1
F,7951,25.0,Miami,0
F,88996,17.0,Miami,1
M,107907,1.0,London,2
M,2312,10.0,London,2
F,138180,32.0,San Francisco,2
M,80148,44.0,San Francisco,0
F,64623,4.0,San Francisco,0
F,118251,23.0,Miami,2
M,63258,13.0,Tokyo,0
M,15885,2.0,San Francisco,0
F,15866,1.0,Miami,0
M,87433,26.0,San Francisco,1
M,40883,13.0,London,2
M,191323,1.0,Miami,3
F,75949,10.0,Tokyo,0
M,106009,11.0,London,1
M,136343,26.0,New York City,1
F,57571,7.0,San Francisco,1
M,43148,30.0,London,0
F,110222,4.0,Tokyo,2
M,150283,25.0,London,0
F,67294,61.0,Tokyo,1
F,19040,55.0,Tokyo,1
M,38484,8.0,New York City,0
F,93248,10.0,New York City,2
F,72166,33.0,Tokyo,2
F,5020,15.0,London,1
F,152797,6.0,Tokyo,2
M,23103,79.0,Miami,2
F,55961,31.0,Tokyo,1
M,12973,1.0,New York City,0
M,94751,31.0,Tokyo,3
F,47034,32.0,San Francisco,1
M,212024,6.0,New York City,0
M,43735,26.0,Miami,0
M,75940,34.0,New York City,0
F,97205,21.0,London,0
M,247740,23.0,Tokyo,0
F,60276,10.0,New York City,0
F,276225,35.0,San Francisco,0
F,29889,24.0,Miami,0
M,32001,4.0,New York City,0
M,13015,12.0,San Francisco,0
F,58545,12.0,San Francisco,0
F,51999,14.0,San Francisco,2
F,18945,30.0,London,1
M,21227,21.0,London,1
F,44900,2.0,Miami,1
F,90815,42.0,Tokyo,1
F,127104,17.0,Miami,0
F,118321,17.0,San Francisco,0
F,163343,43.0,San Francisco,0
M,137615,16.0,London,2
M,63402,40.0,Miami,2
F,68345,19.0,Miami,1
M,22604,53.0,Miami,1
F,139305,51.0,London,2
M,34138,1.0,Tokyo,3
F,38527,14.0,San Francisco,2
F,28318,1.0,San Francisco,0
F,143598,6.0,New York City,3
M,98043,23.0,London,0
M,34631,40.0,Miami,0
F,285344,16.0,Tokyo,1
F,134157,8.0,Miami,1
M,19530,33.0,Tokyo,0
M,63624,13.0,New York City,0
M,4495,15.0,Tokyo,1
M,61777,24.0,San Francisco,0
F,95078,31.0,Tokyo,0
F,73749,29.0,New York City,2
F,107440,16.0,Miami,0
M,7561,4.0,London,2
M,163318,46.0,Miami,2
F,73160,35.0,Tokyo,0
F,11735,15.0,Tokyo,0
M,330,18.0,Tokyo,0
F,2369,11.0,London,3
F,31076,14.0,San Francisco,4
F,157591,69.0,San Francisco,1
F,51580,74.0,New York City,2
F,32176,23.0,San Francisco,4
M,48328,31.0,San Francisco,1
F,37477,27.0,London,0
M,2207,0.0,New York City,1
F,128113,22.0,London,2
M,182404,23.0,London,0
M,26426,6.0,New York City,3
F,81350,24.0,Miami,0
F,176055,13.0,London,2
F,154173,9.0,Miami,1
M,69151,16.0,New York City,1
M,246765,26.0,Tokyo,0
M,77854,2.0,Tokyo,0
M,59315,9.0,Tokyo,4
M,43611,26.0,London,3
F,165527,27.0,San Francisco,0
M,59231,41.0,New York City,0
M,18938,13.0,Miami,3
M,119638,14.0,London,2
F,24184,18.0,London,0
M,49120,5.0,San Francisco,1
F,99896,45.0,London,2
F,39373,15.0,London,1
M,138915,28.0,London,1
M,103197,19.0,Tokyo,0
F,155778,43.0,London,1
M,255836,9.0,Miami,0
F,28834,9.0,London,1
F,198667,28.0,Tokyo,1
F,87275,33.0,Miami,0
F,44986,43.0,San Francisco,0
M,166142,0.0,San Francisco,1
M,120436,14.0,Tokyo,0
F,88181,34.0,Miami,0
M,136059,18.0,London,1
F,50021,26.0,London,1
M,96097,14.0,Miami,2
F,78052,4.0,San Francisco,2
M,7241,36.0,Miami,3
F,41817,42.0,Tokyo,2
M,16254,22.0,London,0
F,63719,10.0,Miami,1
M,82706,39.0,London,2
F,74918,19.0,New York City,1
F,6648,32.0,New York City,1
F,48181,7.0,San Francisco,0
M,126453,5.0,San Francisco,1
M,67154,47.0,Miami,0
M,71328,18.0,London,3
F,48985,26.0,New York City,1
F,44239,1.0,Miami,0
M,106809,30.0,New York City,2
M,139496,6.0,Miami,3
M,29027,3.0,London,0
F,21232,24.0,Tokyo,0
M,56102,16.0,San Francisco,3
F,130556,12.0,Miami,0
M,40171,31.0,San Francisco,0
F,3653,28.0,San Francisco,0
M,6476,15.0,Tokyo,0
M,88013,19.0,New York City,0
M,138997,16.0,London,3
F,137274,35.0,San Francisco,1
F,50223,22.0,Tokyo,0
F,55424,8.0,Tokyo,0
F,69645,12.0,London,0
M,210341,4.0,Tokyo,0
F,13250,22.0,Tokyo,2
M,181821,49.0,Miami,1
M,224804,4.0,New York City,1
F,24112,13.0,Miami,1
F,59573,16.0,New York City,1
M,2789,47.0,San Francisco,2
F,58241,12.0,London,2
F,83179,18.0,Tokyo,0
M,178641,19.0,New York City,3
F,44028,36.0,New York City,1
F,137122,18.0,New York City,1
F,172330,4.0,Tokyo,1
M,177066,9.0,Tokyo,2
F,63212,3.0,London,0
M,80133,17.0,San Francisco,1
M,56426,6.0,Miami,1
M,87445,37.0,London,0
F,130771,14.0,London,0
F,148003,63.0,Tokyo,0
M,37902,19.0,Tokyo,2
M,148175,11.0,Tokyo,3
M,117077,39.0,London,0
F,14097,24.0,San Francisco,1
M,52290,23.0,San Francisco,2
M,26040,23.0,New York City,0
M,38483,48.0,Miami,1
F,6503,25.0,Miami,0
M,148562,15.0,Miami,1
M,38766,17.0,New York City,1
F,52327,44.0,New York City,2
F,39761,6.0,New York City,1
M,95162,11.0,London,0
M,77195,11.0,London,1
M,44942,9.0,New York City,0
F,76703,7.0,Tokyo,0
M,28254,50.0,Miami,3
M,17368,44.0,Miami,1
F,33103,40.0,Tokyo,1
F,48911,15.0,Miami,3
F,24154,56.0,New York City,2
F,124357,10.0,London,0
M,87396,12.0,San Francisco,0
M,224340,1.0,San Francisco,1
M,157774,83.0,Miami,0
M,14843,58.0,San Francisco,1
F,79449,10.0,London,1
M,84098,62.0,New York City,1
M,6504,35.0,New York City,2
F,33734,42.0,Miami,5
M,12976,36.0,London,1
F,184681,10.0,New York City,0
F,136552,30.0,Tokyo,1
F,36594,31.0,New York City,0
M,217348,11.0,Tokyo,0
F,79215,9.0,New York City,0
F,40991,7.0,Miami,0
F,136394,34.0,New York City,0
M,17316,8.0,San Francisco,1
M,137862,19.0,San Francisco,2
M,8856,36.0,San Francisco,1
M,290833,4.0,Tokyo,1
M,73377,47.0,London,1
M,165116,21.0,Miami,3
M,54973,10.0,San Francisco,2
F,25821,7.0,Miami,0
F,21015,21.0,London,2
M,73284,12.0,London,1
M,177784,26.0,London,0
M,45342,6.0,London,1
M,259630,17.0,New York City,0
M,11668,6.0,New York City,0
M,80818,46.0,New York City,0
F,14861,27.0,Miami,1
M,90285,52.0,Tokyo,3
F,121608,22.0,London,1
F,4934,19.0,Tokyo,2
F,250461,17.0,San Francisco,0
F,190802,19.0,New York City,0
F,11339,14.0,London,0
M,1114,74.0,New York City,3
F,165756,28.0,San Francisco,1
M,75802,10.0,New York City,3
F,46566,7.0,Tokyo,0
F,93648,41.0,San Francisco,2
M,44131,32.0,New York City,1
M,131724,12.0,New York City,1
M,91285,42.0,Tokyo,0
F,65598,15.0,San Francisco,0
M,170676,21.0,San Francisco,0
M,61090,7.0,London,0
F,14349,12.0,Tokyo,0
M,58256,11.0,Tokyo,0
F,85740,11.0,New York City,1
M,72981,15.0,Tokyo,0
F,137613,14.0,New York City,4
F,29198,11.0,New York City,0
F,15716,12.0,New York City,1
M,30716,33.0,Miami,0
M,72300,78.0,New York City,2
M,40211,0.0,Miami,1
F,7278,3.0,San Francisco,4
M,22030,29.0,London,1
F,1429,64.0,New York City,3
M,117877,47.0,Miami,0
M,31739,56.0,San Francisco,2
M,121727,13.0,Tokyo,3
F,22563,2.0,New York City,1
F,52848,45.0,San Francisco,1
M,156510,8.0,Miami,2
F,30429,19.0,Tokyo,1
F,89149,40.0,Tokyo,2
F,83831,10.0,New York City,2
F,91760,36.0,London,1
M,60228,45.0,San Francisco,1
F,116150,13.0,New York City,3
M,91105,0.0,Tokyo,1
F,97405,45.0,Miami,0
F,132386,20.0,Miami,2
F,219937,9.0,San Francisco,3
F,136651,33.0,London,4
F,118886,30.0,Miami,3
M,44253,5.0,San Francisco,2
F,58372,5.0,San Francisco,0
F,67052,3.0,London,0
F,40172,7.0,Miami,1
F,47470,5.0,London,1
M,66771,44.0,Tokyo,1
F,38696,22.0,San Francisco,4
F,49391,25.0,San Francisco,1
M,60172,19.0,New York City,1
M,85171,4.0,New York City,0
M,36949,50.0,San Francisco,3
M,74811,14.0,Miami,0
F,106898,53.0,London,0
M,58554,4.0,Miami,1
F,66574,2.0,Miami,2
F,94151,30.0,London,2
M,4512,13.0,New York City,2
F,14097,9.0,Miami,2
F,36233,14.0,Tokyo,1
M,165608,18.0,Tokyo,1
F,144176,15.0,Tokyo,2
M,20582,45.0,New York City,0
F,1320,47.0,New York City,1
M,11403,10.0,Miami,0
M,31916,15.0,New York City,4
F,58806,8.0,Miami,0
F,156870,32.0,Tokyo,2
F,78514,0.0,Miami,1
F,66784,10.0,London,1
F,169992,3.0,San Francisco,0
M,14960,53.0,New York City,1
F,70741,30.0,San Francisco,1
F,67581,37.0,London,0
F,204350,49.0,London,0
M,137324,12.0,San Francisco,3
M,20135,49.0,San Francisco,1
M,51048,39.0,Tokyo,1
F,140190,52.0,San Francisco,2
M,123975,53.0,Miami,0
M,174067,21.0,Tokyo,1
F,142552,10.0,New York City,2
F,72041,29.0,New York City,0
F,96882,51.0,New York City,2
F,16898,27.0,London,0
M,20441,20.0,New York City,0
F,60771,17.0,Tokyo,1
M,6974,9.0,Miami,2
F,8671,66.0,London,0
M,66523,40.0,Tokyo,2
M,31054,19.0,London,1
M,166069,8.0,New York City,1
M,27345,0.0,London,0
M,96384,44.0,Miami,0
F,26915,3.0,London,0
F,8882,5.0,New York City,1
M,26483,16.0,New York City,0
F,121769,59.0,New York City,0
M,51324,63.0,New York City,5
F,80368,5.0,Miami,1
M,125838,7.0,Tokyo,2
F,125212,21.0,San Francisco,0
M,16373,4.0,San Francisco,2
M,92184,1.0,Miami,1
F,12734,30.0,New York City,0
M,47917,3.0,San Francisco,0
M,123965,66.0,Tokyo,2
F,64235,10.0,San Francisco,0
F,37073,9.0,Miami,1
M,36570,13.0,New York City,0
F,42035,47.0,London,1
M,144844,26.0,London,1
M,183721,26.0,London,0
M,36011,28.0,London,0
M,62274,23.0,Tokyo,0
F,13271,31.0,London,0
M,37305,44.0,London,1
M,5277,6.0,Tokyo,0
F,215779,7.0,Miami,3
F,139942,15.0,San Francisco,0
M,178655,2.0,Miami,1
M,81466,14.0,London,2
M,4223,28.0,New York City,1
F,80743,30.0,San Francisco,0
F,60454,9.0,San Francisco,2
F,13726,37.0,New York City,2
M,60868,5.0,San Francisco,1
M,59050,1.0,New York City,3
F,31312,34.0,Tokyo,1
M,115305,16.0,New York City,2
F,29438,44.0,Miami,0
F,123886,9.0,San Francisco,0
F,83442,28.0,Tokyo,0
F,79359,48.0,New York City,4
M,94622,4.0,New York City,0
F,152616,19.0,London,2
M,55600,7.0,London,2
M,95608,17.0,San Francisco,1
M,46959,11.0,San Francisco,0
F,143124,28.0,San Francisco,2
F,18987,57.0,San Francisco,3
M,174370,25.0,London,1
F,85899,0.0,New York City,0
M,106511,21.0,New York City,0
F,21271,10.0,London,1
F,13268,29.0,London,0
M,46974,1.0,New York City,1
F,21900,22.0,San Francisco,1
F,23704,50.0,San Francisco,2
F,21542,37.0,London,1
M,91958,12.0,Tokyo,4
F,90965,28.0,New York City,2
M,16849,13.0,Miami,2
M,92239,19.0,Miami,0
F,75462,0.0,Tokyo,0
M,192297,17.0,Tokyo,1
F,22701,8.0,Tokyo,0
M,97981,48.0,New York City,3
F,33780,21.0,New York City,0
M,29186,34.0,New York City,2
M,37370,43.0,Tokyo,1
M,33378,4.0,New York City,0
F,388572,36.0,New York City,1
F,4235,7.0,Tokyo,0
M,4,51.0,Tokyo,3
M,76744,12.0,London,1
M,216346,13.0,New York City,0
F,126717,2.0,New York City,1
F,61932,78.0,San Francisco,2
F,50365,19.0,New York City,2
M,222606,19.0,San Francisco,0
F,67370,31.0,San Francisco,1
F,25505,8.0,San Francisco,1
M,75601,39.0,New York City,0
M,16370,5.0,San Francisco,1
F,8189,1.0,London,0
M,61857,14.0,Miami,2
M,3891,28.0,New York City,1
M,59114,1.0,New York City,2
M,25166,33.0,San Francisco,0
M,44058,21.0,New York City,0
M,34398,34.0,Miami,1
M,4662,49.0,Miami,1
M,47363,11.0,Miami,2
M,83394,5.0,London,4
M,129614,32.0,Tokyo,0
M,99606,19.0,Miami,1
F,146704,25.0,Miami,0
M,91368,4.0,New York City,1
M,69201,14.0,San Francisco,0
F,109012,18.0,Tokyo,0
M,56905,25.0,New York City,2
F,6596,28.0,San Francisco,1
M,100091,10.0,Miami,1
M,100463,23.0,London,0
M,116566,33.0,London,2
M,83300,42.0,New York City,0
M,178469,3.0,Tokyo,2
M,25780,29.0,New York City,1
M,167229,5.0,Tokyo,1
F,288203,23.0,San Francisco,3
F,94666,9.0,New York City,1
M,89700,63.0,Miami,3
F,129988,3.0,New York City,1
M,34591,20.0,Miami,0
F,61057,43.0,London,0
M,58866,4.0,London,1
F,191544,24.0,London,0
M,34132,23.0,London,2
F,54533,27.0,Tokyo,1
M,62693,41.0,Miami,3
M,40686,25.0,New York City,0
F,181955,3.0,New York City,0
M,64398,7.0,Miami,3
M,31642,54.0,New York City,2
F,7988,15.0,Tokyo,0
F,158248,29.0,San Francisco,0
F,90119,17.0,New York City,5
M,55738,26.0,Tokyo,1
F,15087,13.0,San Francisco,0
M,95725,18.0,San Francisco,2
M,94666,0.0,San Francisco,0
F,159380,45.0,Tokyo,1
M,147548,10.0,Miami,2
F,97892,4.0,Miami,2
M,130951,2.0,San Francisco,1
F,36160,11.0,Tokyo,1
F,21604,40.0,Miami,2
M,75439,11.0,New York City,0
F,25651,7.0,New York City,0
M,47686,59.0,Miami,1
F,158813,21.0,Miami,1
F,5752,14.0,London,0
F,86519,46.0,San Francisco,0
F,63824,37.0,Tokyo,2
M,164736,38.0,San Francisco,1
F,17791,52.0,San Francisco,2
F,72121,33.0,Tokyo,1
F,53734,13.0,Tokyo,4
M,105519,16.0,Tokyo,2
M,27804,3.0,Tokyo,2
F,63555,20.0,San Francisco,0
M,172694,8.0,London,2
M,34272,34.0,London,0
M,36457,47.0,London,3
M,76749,66.0,Miami,2
M,175803,69.0,San Francisco,0
F,65662,21.0,Miami,0
M,26484,4.0,New York City,0
F,5700,59.0,London,0
M,72350,24.0,San Francisco,1
F,41571,46.0,Tokyo,2
F,146715,3.0,Tokyo,1
F,19685,6.0,San Francisco,0
M,43348,34.0,San Francisco,1
F,151479,13.0,New York City,1
F,160493,9.0,San Francisco,0
F,56912,7.0,Miami,1
M,37590,5.0,New York City,0
F,20998,5.0,Miami,0
M,68535,10.0,Tokyo,1
M,62443,6.0,New York City,0
F,45861,30.0,Miami,0
F,77502,0.0,San Francisco,6
M,64876,22.0,Miami,5
M,173890,0.0,Miami,4
M,40406,3.0,Miami,2
M,95803,6.0,London,1
M,44499,3.0,London,0
M,89372,16.0,London,3
F,293214,9.0,London,0
F,148440,7.0,New York City,1
M,61022,39.0,New York City,2
M,132928,14.0,New York City,0
M,42951,0.0,Tokyo,1
M,236459,18.0,New York City,0
M,159196,9.0,New York City,0
M,33975,45.0,San Francisco,2
M,189904,11.0,Tokyo,0
F,86160,34.0,London,1
M,42884,43.0,New York City,0
F,127518,35.0,San Francisco,0
M,55860,68.0,New York City,2
M,96261,65.0,Tokyo,1
M,17333,7.0,Miami,0
M,38946,13.0,Tokyo,1
F,9010,8.0,London,0
M,90651,5.0,New York City,4
F,48611,72.0,London,1
F,91696,33.0,London,2
M,104457,29.0,San Francisco,0
F,1723,28.0,Tokyo,1
M,194841,0.0,New York City,1
M,80098,20.0,London,2
F,17235,10.0,San Francisco,1
M,11417,5.0,Miami,1
F,127413,10.0,Tokyo,0
M,10848,35.0,San Francisco,1
F,127781,19.0,London,3
M,211161,25.0,Miami,2
F,64427,6.0,Tokyo,4
F,91479,58.0,London,4
F,104648,4.0,New York City,2
M,12075,10.0,San Francisco,0
F,88741,43.0,London,1
F,97008,42.0,New York City,2
F,133562,69.0,Miami,0
M,81632,18.0,New York City,1
F,16984,31.0,San Francisco,0
F,190865,34.0,Miami,1
M,1203,11.0,Miami,0
M,132086,22.0,New York City,0
F,88642,18.0,Tokyo,3
M,66629,45.0,Miami,1
F,8908,24.0,San Francisco,1
F,46390,13.0,Miami,0
M,461,3.0,Tokyo,2
F,22063,41.0,New York City,1
M,159635,10.0,San Francisco,2
F,5700,28.0,London,3
M,138932,13.0,Miami,1
F,54507,49.0,London,1
F,163650,50.0,London,0
F,8001,46.0,Miami,1
M,168806,39.0,London,4
M,1793,11.0,Tokyo,4
M,119234,91.0,San Francisco,1
F,160041,30.0,New York City,2
M,136482,7.0,Miami,0
F,232505,16.0,Tokyo,3
M,33926,6.0,Tokyo,1
F,59602,24.0,Tokyo,2
F,120246,12.0,Tokyo,3
M,62144,2.0,London,1
F,51741,41.0,San Francisco,0
F,10645,29.0,Tokyo,1
M,100889,12.0,San Francisco,0
M,50529,13.0,New York City,4
M,53119,28.0,Tokyo,4
F,109425,27.0,London,1
M,20073,11.0,London,3
M,119917,10.0,London,0
M,92151,15.0,Miami,0
F,147313,39.0,San Francisco,0
F,56496,3.0,Miami,1
M,232980,30.0,London,0
M,62407,13.0,Miami,3
F,39828,13.0,San Francisco,0
F,104739,44.0,Miami,0
M,13091,39.0,Tokyo,0
M,15177,19.0,Tokyo,1
M,96203,38.0,New York City,0
M,30516,43.0,San Francisco,1
F,102444,33.0,London,0
M,57142,19.0,London,1
M,113939,2.0,Tokyo,2
M,55440,2.0,Miami,0
F,60992,34.0,San Francisco,0
M,219434,20.0,San Francisco,1
F,41282,28.0,New York City,0
M,78444,0.0,Tokyo,3
M,60094,32.0,New York City,2
F,120402,12.0,Miami,2
F,32982,14.0,New York City,2
F,30943,69.0,London,1
F,136266,22.0,New York City,2
M,157121,7.0,London,0
M,78739,1.0,Miami,0
M,45981,35.0,Miami,2
M,76398,16.0,Tokyo,0
M,71972,20.0,Miami,1
M,11953,60.0,Miami,2
M,157540,17.0,London,2
F,54474,9.0,Tokyo,1
M,255072,12.0,Miami,0
M,11011,0.0,Miami,3
M,54450,38.0,Miami,4
M,41570,11.0,New York City,0
F,37486,13.0,London,0
M,15597,22.0,London,1
F,135226,48.0,Tokyo,2
F,34324,22.0,Miami,1
F,31863,27.0,San Francisco,0
M,61118,0.0,Miami,0
F,92929,20.0,San Francisco,1
M,149161,23.0,London,0
M,133459,33.0,Tokyo,0
F,101512,38.0,Miami,0
M,131244,30.0,San Francisco,4
F,175801,45.0,San Francisco,0
F,157186,30.0,London,3
M,48851,51.0,Miami,0
M,72401,37.0,London,1
M,101610,28.0,New York City,0
M,19416,23.0,San Francisco,1
F,12777,38.0,London,1
F,82538,18.0,New York City,3
F,12045,32.0,Tokyo,0
M,118008,12.0,Tokyo,1
M,44521,0.0,San Francisco,2
M,31501,34.0,San Francisco,2
F,47460,4.0,New York City,2
M,141181,20.0,Miami,3
F,111543,29.0,Miami,6
M,37714,29.0,Miami,1
M,3071,18.0,New York City,3
